project,mcc,c_lower,c_upper,cost_1000,cost_10000
zeppelin,0.13305408612694378,14.11731843575419,701.0,66054,615054
httpcomponents-client,0.05727291659813071,40.25369458128079,6983.34375,48343,336343
ranger,0.15017931240198062,10.294363256784969,254.31914893617022,98931,944931
kylin,-0.014823790093483195,0.14630225080385853,976.2045454545455,44091,440091
oozie,0.037336776006685016,0.4573804573804574,477.9651162790698,86220,860220
tika,-0.03489499374388284,7.612903225806452,1022.8064516129032,34304,313304
derby,0.14053105989532785,1.290901835594573,1164.78125,35235,323235
mahout,0.08888645910885636,1.8384615384615384,1673.741935483871,31478,310478
streams,-0.01798367875486678,31.930232558139537,5157.631578947368,20373,191373
archiva,-0.0039032880412403557,0.006493506493506494,2291.222222222222,9002,90002
nutch,0.08406816992572798,9.889855072463767,709.7358490566038,56412,533412
nifi,0.1983366524592956,12.261424017003188,525.7906976744187,97538,871538
mina-sshd,0.012786711551544426,17.127167630057805,676.4166666666666,74963,722963
deltaspike,0.012855362547066932,6.959183673469388,705.6129032258065,32023,311023
activemq,0.10476096201026501,0.8653344917463076,276.79487179487177,79992,781992
httpcomponents-core,0.10563937109110946,7.238095238095238,18387.25,5520,41520
storm,0.07874884704515853,31.377682403433475,2201.1111111111113,79311,727311
tez,0.24279542863268905,8.084527220630372,638.2058823529412,39643,345643
knox,0.1819209353015429,29.76691729323308,1969.8701298701299,80959,773959
flume,0.15127040388105475,28.974545454545453,730.0217391304348,53968,467968
roller,0.0,0.0,3924.3333333333335,15000,150000
helix,0.0,0.0,1681.0,53000,530000
systemml,-0.0221767573267932,4.09009009009009,845.2948717948718,78908,780908
pig,0.08839417032063633,6.34850863422292,737.6486486486486,45088,378088
calcite,0.16224411936731023,13.594285714285714,2362.8928571428573,60758,564758
cayenne,-0.005709264999796628,0.08196721311475409,1412.4347826086957,46040,460040
jena,-0.01899133934892536,0.38386308068459657,1238.6176470588234,34157,340157
zookeeper,0.00918076209988316,2.4669260700389106,374.3764705882353,86268,851268
falcon,0.09927289691974629,20.10810810810811,205.7290322580645,161696,1556696
phoenix,0.1691646477306521,8.133165829145728,137.8340807174888,239185,2246185
pdfbox,0.20027084265400608,0.4429530201342282,163.5483870967742,32056,311056
kafka,0.14448181765493365,14.048632218844984,590.0975609756098,91244,829244
directory-fortress-core,0.07647180283600528,30.50561797752809,2563.5384615384614,15715,132715
samza,0.07525517743474362,151.7111111111111,726.7605633802817,77827,716827
lens,0.11244735919408033,5.870270270270271,515.2098765432099,82086,811086
eagle,-0.018738727645284996,14.368421052631579,1746.5,25365,241365
commons-jexl,0.11168221981572186,353.42105263157896,1237.6727272727273,61715,556715
manifoldcf,-0.032952937294755194,2.2795698924731185,1792.5454545454545,34272,331272
jspwiki,-0.03259986781532705,0.8385093167701864,288.5925925925926,54135,540135
