project,mcc,c_lower,c_upper,cost_1000,cost_10000
zeppelin,0.18191998008508117,53.91777188328913,654.4761904761905,62327,440327
httpcomponents-client,-0.008300869806023223,471.31666666666666,2325.3888888888887,215953,377953
ranger,0.14680433318945774,32.25387596899225,213.9298245614035,73643,586643
kylin,0.07183725303068111,25.395419847328245,2400.909090909091,27634,126634
oozie,0.2094275250949888,22.562130177514792,498.1,71439,611439
tika,0.0411341175292157,44.39277652370203,697.5,41666,239666
derby,0.2235225415098815,6.6243072050673,1981.25,28733,136733
mahout,0.05701702814852567,83.37728937728937,1644.5555555555557,40762,202762
streams,0.057529897574115356,178.26666666666668,5373.294117647059,25022,178022
archiva,0.05692238913108199,22.253205128205128,2736.0,11943,56943
nutch,0.19899872686362108,81.23498694516971,661.0,46113,181113
nifi,0.18004680695649716,37.92215568862275,750.32,62998,287998
mina-sshd,0.0652062759970725,112.55440414507773,575.8076923076923,73723,541723
deltaspike,0.08512691011963548,54.4,628.9130434782609,31432,238432
activemq,0.2730218252161058,4.566469093988146,710.8888888888889,28786,190786
httpcomponents-core,0.026532822296415206,178.6933962264151,18593.0,39883,57883
storm,0.1324737159569042,236.87084870848707,2988.205882352941,98192,404192
tez,0.13575224445295453,21.97054698457223,614.578947368421,34665,205665
knox,0.18945730748129117,80.87820512820512,2648.5555555555557,66617,552617
flume,0.10543492188211646,89.19543973941369,1011.8571428571429,41383,167383
roller,0.10950712910214591,82.25301204819277,6458.714285714285,20654,83654
zeppelin,0.19993125243204302,61.36842105263158,1166.45,44486,224486
httpcomponents-client,0.02018064495773316,481.2867298578199,2294.1875,219103,363103
ranger,0.1894709917993518,36.875,182.30188679245282,72175,549175
kylin,0.11109375804138502,43.09007633587786,1347.2727272727273,39224,138224
oozie,0.17786451230547862,24.20990099009901,469.33870967741933,74226,632226
tika,0.11855078223398213,48.519823788546255,1180.2727272727273,33028,132028
derby,0.19006115179028332,5.988880063542494,1271.4,35080,215080
mahout,0.10051059667761365,60.41240875912409,2106.529411764706,33553,186553
streams,0.056399752627457174,314.7608695652174,5305.5625,30479,174479
archiva,0.1050724533235901,18.794871794871796,2951.8,10864,55864
nutch,0.22241034178875296,76.93523316062176,944.25,41697,149697
nifi,0.12397285645599138,42.794059405940594,796.1176470588235,60222,213222
mina-sshd,0.08616244489591598,120.09693877551021,574.0,72539,513539
deltaspike,0.12118596943765227,49.7875,829.5,25966,187966
activemq,0.27481076884891464,4.838764282691494,714.5882352941177,28434,181434
httpcomponents-core,0.014421818984111353,165.7867298578199,13362.666666666666,37981,64981
storm,0.08551906801439699,171.7969348659004,2748.909090909091,88839,484839
tez,0.13457872974876456,21.686357243319268,567.7619047619048,36419,225419
knox,0.18854625173898706,87.65454545454546,3137.2444444444445,59463,464463
flume,0.14053444198907364,97.84142394822007,943.0,42233,150233
roller,0.056879844068498414,85.8132530120482,6374.285714285715,21245,84245
helix,-0.04744143677504994,255.0222222222222,1492.6346153846155,63476,531476
systemml,0.040382152831536976,112.60816326530612,713.6727272727272,82589,577589
pig,0.11299207499317854,16.48096348096348,590.4166666666666,45211,261211
calcite,0.10244723661332047,329.95103092783506,503.27777777777777,146021,308021
cayenne,0.09491380287343949,77.22648752399232,1905.923076923077,53235,170235
jena,0.05519489008850398,40.00709219858156,1267.35,36923,216923
zookeeper,0.04430375988907693,32.16606498194946,339.3333333333333,62820,467820
falcon,0.082667917795294,67.32098765432099,136.3734939759036,110265,857265
phoenix,0.19380482393421952,17.695410292072324,156.30357142857142,94169,598169
pdfbox,0.2870515482724188,0.461892797319933,186.03703703703704,28103,271103
kafka,0.17707164783056442,48.6867816091954,539.6818181818181,77886,473886
directory-fortress-core,0.10720813898085163,232.07291666666666,2293.6666666666665,28279,82279
samza,0.07876232406638527,268.4186046511628,642.2602739726027,84542,741542
lens,0.20055161227651522,98.65454545454546,459.0,67704,481704
eagle,0.0019172328358839968,254.71028037383178,1335.5833333333333,39254,147254
commons-jexl,0.1109571062155402,1022.9333333333333,1002.25,74688,470688
manifoldcf,0.19280464422954466,93.66552901023891,1107.6,59888,104888
jspwiki,0.18540252038515842,59.16981132075472,1058.3333333333333,15544,42544
