project,mcc,c_lower,c_upper,cost_1000,cost_10000
zeppelin,0.16799328737922709,27.104972375690608,666.719298245614,66812,579812
httpcomponents-client,0.0742669944114159,5.852216748768473,7419.8125,34376,322376
ranger,0.13512454678807945,11.495833333333334,250.74193548387098,98518,935518
kylin,0.027299829562108434,0.8569131832797428,966.1590909090909,44533,440533
oozie,0.16481259319694647,4.564681724845996,488.775,82223,802223
tika,0.048274741110464356,7.894495412844036,1088.5862068965516,32442,293442
derby,0.1382950464368689,1.911049062624651,1152.1612903225807,35791,314791
mahout,0.08688695896971624,4.419847328244275,1765.7241379310344,30158,291158
streams,0.02988999905820512,14.568181818181818,5484.833333333333,18641,180641
archiva,-0.007819722164342477,0.5032467532467533,2274.222222222222,9155,90155
nutch,0.11810512056321748,11.670487106017193,754.1836734693877,53073,494073
nifi,0.25636330544286806,13.121693121693122,540.9268292682926,94400,832400
mina-sshd,0.022128131748682004,13.045977011494253,695.7042253521126,73270,712270
deltaspike,0.07761077882436901,2.578231292517007,726.3870967741935,31379,310379
activemq,0.14473631584380448,1.032537960954447,282.6933333333333,77380,752380
httpcomponents-core,0.07523540391470868,12.461904761904762,18113.0,6617,42617
storm,0.07874884704515853,30.21794871794872,2235.492957746479,78071,717071
tez,0.10904428583441521,7.542446043165468,597.2972972972973,42242,375242
knox,0.15302133997233625,53.93129770992366,1880.6835443037974,86065,797065
flume,0.1968128755340472,36.181184668989545,916.6176470588235,44384,350384
roller,0.0,0.0,3924.3333333333335,15000,150000
helix,0.0,0.0,1681.0,53000,530000
systemml,-0.019823351818761957,2.225225225225225,850.6025641025641,78494,780494
pig,0.0974912961025457,7.281347962382445,745.4285714285714,44291,359291
calcite,0.2329783209868349,18.296918767507,2664.2448979591836,55532,496532
cayenne,0.0708881821054127,0.8309572301425662,1502.4186046511627,43408,430408
jena,0.13104449925327757,3.5024271844660193,1317.0,32443,311443
zookeeper,0.10983343285672625,2.8027079303675047,385.8658536585366,83449,821449
falcon,0.1426361989283539,24.03951367781155,192.9245283018868,166909,1597909
phoenix,0.17045280465073512,9.921184738955823,122.89140271493213,240763,2229763
pdfbox,0.1088593468239532,0.5783942833123161,131.94444444444446,37376,361376
kafka,0.17782727874922338,16.017991004497752,643.1232876712329,83684,740684
directory-fortress-core,0.16920300756616857,43.07865168539326,2477.4615384615386,16834,133834
samza,0.1049651558514533,163.9047619047619,696.527027027027,80884,746884
lens,0.07943885843447127,15.159574468085106,512.4102564102565,80850,782850
eagle,-0.019823239659427592,15.621052631578948,1741.5416666666667,25484,241484
commons-jexl,0.039062796665035364,274.77777777777777,1247.1607142857142,60946,564946
manifoldcf,0.025500761048400992,6.679785330948121,1771.625,35734,323734
jspwiki,0.09301018106578586,2.75,324.6170212765957,47462,470462
