,hybrid,svm,logisticregression,randomforest
zeppelin,0.13305408612694378,0.11685578913148013,0.19993125243204302,0.16799328737922709
httpcomponents-client,0.05727291659813071,0.0729200161067028,0.02018064495773316,0.0742669944114159
ranger,0.15017931240198062,0.13024370066502466,0.1894709917993518,0.13512454678807945
kylin,-0.014823790093483195,0.061332166923522495,0.11109375804138502,0.027299829562108434
oozie,0.037336776006685016,0.0547378094794012,0.17786451230547862,0.16481259319694647
tika,-0.03489499374388284,-0.042350274913440386,0.11855078223398213,0.048274741110464356
derby,0.14053105989532785,0.09330756214036204,0.19006115179028332,0.1382950464368689
mahout,0.08888645910885636,0.023680798591653326,0.10051059667761365,0.08688695896971624
streams,-0.01798367875486678,0.0936438836578962,0.056399752627457174,0.02988999905820512
archiva,-0.0039032880412403557,0.07499630724666767,0.1050724533235901,-0.007819722164342477
nutch,0.08406816992572798,0.038979262374949204,0.22241034178875296,0.11810512056321748
nifi,0.1983366524592956,0.16139730202406877,0.12397285645599138,0.25636330544286806
mina-sshd,0.012786711551544426,0.10543489388861535,0.08616244489591598,0.022128131748682004
deltaspike,0.012855362547066932,0.0711073455517045,0.12118596943765227,0.07761077882436901
activemq,0.10476096201026501,0.25237339408481346,0.27481076884891464,0.14473631584380448
httpcomponents-core,0.10563937109110946,0.07148165198693104,0.014421818984111353,0.07523540391470868
storm,0.07874884704515853,0.08365341438361466,0.08551906801439699,0.07874884704515853
tez,0.24279542863268905,0.1626511261445381,0.13457872974876456,0.10904428583441521
knox,0.1819209353015429,0.20174346242692795,0.18854625173898706,0.15302133997233625
flume,0.15127040388105475,0.13947112090538621,0.14053444198907364,0.1968128755340472
roller,0.0,0.10025718084099121,0.056879844068498414,0.0
helix,0.0,0.00043685841082563494,-0.04744143677504994,0.0
systemml,-0.0221767573267932,0.05783117737823417,0.040382152831536976,-0.019823351818761957
pig,0.08839417032063633,0.1418955853585634,0.11299207499317854,0.0974912961025457
calcite,0.16224411936731023,0.08317371808862135,0.10244723661332047,0.2329783209868349
cayenne,-0.005709264999796628,0.019183862033550384,0.09491380287343949,0.0708881821054127
jena,-0.01899133934892536,-0.0029365439712611217,0.05519489008850398,0.13104449925327757
zookeeper,0.00918076209988316,0.0833779168978426,0.04430375988907693,0.10983343285672625
falcon,0.09927289691974629,0.10884387495581764,0.082667917795294,0.1426361989283539
phoenix,0.1691646477306521,0.13904337841141318,0.19380482393421952,0.17045280465073512
pdfbox,0.20027084265400608,0.09771449466003869,0.2870515482724188,0.1088593468239532
kafka,0.14448181765493365,0.1392145595717813,0.17707164783056442,0.17782727874922338
directory-fortress-core,0.07647180283600528,0.13883123114475238,0.10720813898085163,0.16920300756616857
samza,0.07525517743474362,-0.03814801679304522,0.07876232406638527,0.1049651558514533
lens,0.11244735919408033,0.12657103259138752,0.20055161227651522,0.07943885843447127
eagle,-0.018738727645284996,0.015613015954753574,0.0019172328358839968,-0.019823239659427592
commons-jexl,0.11168221981572186,0.05181189152222715,0.1109571062155402,0.039062796665035364
manifoldcf,-0.032952937294755194,0.0138456885077563,0.19280464422954466,0.025500761048400992
jspwiki,-0.03259986781532705,0.25026334997128535,0.18540252038515842,0.09301018106578586
