project,mcc,c_lower,c_upper,cost_1000,cost_10000
zeppelin,0.11685578913148013,49.67191601049869,760.2631578947369,56925,398925
httpcomponents-client,0.0729200161067028,45.93719806763285,9199.666666666666,43018,259018
ranger,0.13024370066502466,18.611439842209073,293.95454545454544,75436,669436
kylin,0.061332166923522495,23.5251572327044,936.0666666666667,44962,314962
oozie,0.0547378094794012,11.149590163934427,454.2278481012658,84441,795441
tika,-0.042350274913440386,26.22425629290618,841.1071428571429,39460,291460
derby,0.09330756214036204,5.421178343949045,1034.2307692307693,39618,273618
mahout,0.023680798591653326,20.398496240601503,1877.52,30426,255426
streams,0.0936438836578962,133.3111111111111,5492.294117647059,22999,175999
archiva,0.07499630724666767,2.8867313915857604,2466.375,8892,80892
nutch,0.038979262374949204,31.90909090909091,647.7391304347826,57232,471232
nifi,0.16139730202406877,31.212678936605318,535.3061224489796,79526,520526
mina-sshd,0.10543489388861535,61.38502673796791,692.8620689655172,69479,591479
deltaspike,0.0711073455517045,34.05128205128205,799.3181818181819,27312,225312
activemq,0.25237339408481346,2.043143955574541,482.02564102564105,43783,394783
httpcomponents-core,0.07148165198693104,62.466981132075475,30913.0,15243,33243
storm,0.08365341438361466,82.61475409836065,2387.4262295081967,81158,630158
tez,0.1626511261445381,13.035663338088446,587.2258064516129,40138,319138
knox,0.20174346242692795,30.13888888888889,2292.409090909091,70340,664340
flume,0.13947112090538621,51.460481099656356,885.8,44975,314975
roller,0.10025718084099121,7.1835443037974684,3848.6666666666665,16135,151135
helix,0.00043685841082563494,40.93181818181818,1647.0188679245282,54801,531801
systemml,0.05783117737823417,50.40425531914894,846.0923076923077,76845,661845
pig,0.1418955853585634,10.779069767441861,1022.6666666666666,34905,223905
calcite,0.08317371808862135,52.352617079889804,2745.953488372093,62004,449004
cayenne,0.019183862033550384,8.25609756097561,1451.1904761904761,46062,424062
jena,-0.0029365439712611217,17.14009661835749,1212.896551724138,36096,297096
zookeeper,0.0833779168978426,8.996204933586338,393.7361111111111,76741,724741
falcon,0.10884387495581764,44.25135135135135,188.22881355932202,134373,1196373
phoenix,0.13904337841141318,9.43293885601578,150.22702702702702,204130,1869130
pdfbox,0.09771449466003869,1.2198581560283688,177.88888888888889,20924,182924
kafka,0.1392145595717813,33.44047619047619,517.0588235294117,90472,702472
directory-fortress-core,0.13883123114475238,95.23655913978494,3020.4444444444443,17857,98857
samza,-0.03814801679304522,145.61764705882354,652.1463414634146,86951,824951
lens,0.12657103259138752,26.420212765957448,485.2692307692308,82967,784967
eagle,0.015613015954753574,140.3030303030303,1469.55,33890,213890
commons-jexl,0.05181189152222715,545.35,1182.962962962963,64907,550907
manifoldcf,0.0138456885077563,50.847100175746924,1431.5454545454545,50932,248932
jspwiki,0.25026334997128535,16.790816326530614,654.1052631578947,22291,193291
